year,aus_births,source
1920,"136,000","Estimate - ABS series begins 1924 (early 1900s under 140,000)"
1921,"136,000","Estimate - ABS series begins 1924 (early 1900s under 140,000)"
1922,"135,000","Estimate - ABS series begins 1924 (early 1900s under 140,000)"
1923,"135,000","Estimate - ABS series begins 1924 (early 1900s under 140,000)"
1924,"135,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1925,"136,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1926,"133,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1927,"134,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1928,"134,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1929,"129,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1930,"128,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1931,"119,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1932,"111,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1933,"111,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1934,"109,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1935,"111,325","ABS Births, Australia (Cat 3301.0) - verified figure"
1936,"116,073","ABS Births, Australia (Cat 3301.0) - verified figure"
1937,"119,131","ABS Births, Australia (Cat 3301.0) - verified figure"
1938,"120,415","ABS Births, Australia (Cat 3301.0) - verified figure"
1939,"122,891","ABS Births, Australia (Cat 3301.0) - verified figure"
1940,"126,347","ABS Births, Australia (Cat 3301.0) - verified figure"
1941,"134,525","ABS Births, Australia (Cat 3301.0) - verified figure"
1942,"136,708","ABS Births, Australia (Cat 3301.0) - verified figure"
1943,"149,295","ABS Births, Australia (Cat 3301.0) - verified figure"
1944,"153,344","ABS Births, Australia (Cat 3301.0) - verified figure"
1945,"160,560","ABS Births, Australia (Cat 3301.0) - verified figure"
1946,"176,379","ABS Births, Australia (Cat 3301.0) - verified figure"
1947,"182,384","ABS Births, Australia (Cat 3301.0) - verified figure"
1948,"177,976","ABS Births, Australia (Cat 3301.0) - verified figure"
1949,"181,261","ABS Births, Australia (Cat 3301.0) - verified figure"
1950,"190,591","ABS Births, Australia (Cat 3301.0) - verified figure"
1951,"193,298","ABS Births, Australia (Cat 3301.0) - verified figure"
1952,"201,650","ABS Births, Australia (Cat 3301.0) - verified figure"
1953,"202,235","ABS Births, Australia (Cat 3301.0) - verified figure"
1954,"202,256","ABS Births, Australia (Cat 3301.0) - verified figure"
1955,"207,677","ABS Births, Australia (Cat 3301.0) - verified figure"
1956,"212,133","ABS Births, Australia (Cat 3301.0) - verified figure"
1957,"220,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1958,"223,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1959,"227,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1960,"230,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1961,"239,986","ABS Births, Australia (Cat 3301.0) - verified figure"
1962,"237,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1963,"236,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1964,"229,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1965,"223,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1966,"224,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1967,"229,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1968,"241,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1969,"250,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1970,"258,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1971,"276,400","ABS Births, Australia (Cat 3301.0) - verified figure"
1972,"265,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1973,"248,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1974,"245,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1975,"233,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1976,"228,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1977,"226,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1978,"224,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1979,"223,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1980,"226,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1981,"236,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1982,"240,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1983,"243,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1984,"234,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1985,"247,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1986,"243,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1987,"244,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1988,"246,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1989,"251,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1990,"263,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1991,"257,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1992,"264,200","ABS Births, Australia (Cat 3301.0) - verified figure"
1993,"260,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1994,"258,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1995,"256,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1996,"254,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1997,"251,800","ABS Births, Australia (Cat 3301.0) - verified figure"
1998,"250,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
1999,"249,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
2000,"249,600","ABS Births, Australia (Cat 3301.0) - verified figure"
2001,"246,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
2002,"251,000","ABS Births, Australia (Cat 3301.0) - verified figure"
2003,"251,200","ABS Births, Australia (Cat 3301.0) - verified figure"
2004,"254,200","ABS Births, Australia (Cat 3301.0) - verified figure"
2005,"264,000","ABS Births Australia 2024 (Cat 3301.0), registered births"
2006,"265,900","ABS Births, Australia (Cat 3301.0) - verified figure"
2007,"285,200","ABS Births, Australia (Cat 3301.0) - verified figure"
2008,"296,600","ABS Births, Australia (Cat 3301.0) - verified figure"
2009,"295,700","ABS Births, Australia (Cat 3301.0) - verified figure"
2010,"297,900","ABS Births, Australia (Cat 3301.0) - verified figure"
2011,"301,617","ABS Births, Australia (Cat 3301.0) - verified figure"
2012,"309,582","ABS Births, Australia (Cat 3301.0) - verified figure"
2013,"308,065","ABS Births, Australia (Cat 3301.0) - verified figure"
2014,"299,697","ABS Births, Australia (Cat 3301.0) - verified figure"
2015,"305,377","ABS Births, Australia (Cat 3301.0) - verified figure"
2016,"311,104","ABS Births, Australia (Cat 3301.0) - verified figure"
2017,"309,142","ABS Births, Australia (Cat 3301.0) - verified figure"
2018,"315,147","ABS Births, Australia (Cat 3301.0) - verified figure"
2019,"305,832","ABS Births, Australia (Cat 3301.0) - verified figure"
2020,"294,369","ABS Births, Australia (Cat 3301.0) - verified figure"
2021,"309,996","ABS Births, Australia (Cat 3301.0) - verified figure"
2022,"300,684","ABS Births, Australia (Cat 3301.0) - verified figure"
2023,"286,998","ABS Births, Australia (Cat 3301.0) - verified figure"
2024,"292,318","ABS Births, Australia (Cat 3301.0) - verified figure"
2025,"292,000",Latest available (2024 figure); 2025 not yet published by ABS
2026,"292,000",Latest available (2024 figure); 2026 not yet published by ABS
