year,aus_population,source
1920,5.4 million,ABS historical series
1921,5.5 million,ABS Census 1921
1922,5.6 million,ABS historical series
1923,5.7 million,ABS historical series
1924,5.8 million,ABS historical series
1925,5.9 million,ABS historical series
1926,6.1 million,ABS historical series
1927,6.2 million,ABS historical series
1928,6.3 million,ABS historical series
1929,6.4 million,ABS historical series
1930,6.5 million,ABS historical series
1931,6.5 million,ABS historical series
1932,6.6 million,ABS historical series
1933,6.6 million,ABS Census 1933
1934,6.7 million,ABS historical series
1935,6.8 million,ABS historical series
1936,6.8 million,ABS historical series
1937,6.9 million,ABS historical series
1938,6.9 million,ABS historical series
1939,7.0 million,ABS historical series
1940,7.1 million,ABS historical series
1941,7.1 million,ABS historical series
1942,7.2 million,ABS historical series
1943,7.3 million,ABS historical series
1944,7.3 million,ABS historical series
1945,7.4 million,ABS historical series
1946,7.5 million,ABS historical series
1947,7.6 million,ABS Census 1947
1948,7.8 million,ABS historical series
1949,8.0 million,ABS historical series
1950,8.2 million,ABS/UN midyear estimate
1951,8.4 million,ABS/UN midyear estimate
1952,8.6 million,ABS/UN midyear estimate
1953,8.8 million,ABS/UN midyear estimate
1954,9.0 million,ABS Census 1954
1955,9.2 million,ABS/UN midyear estimate
1956,9.4 million,ABS/UN midyear estimate
1957,9.6 million,ABS/UN midyear estimate
1958,9.8 million,ABS/UN midyear estimate
1959,10.0 million,ABS/UN midyear estimate
1960,10.3 million,ABS/UN midyear estimate
1961,10.5 million,ABS Census 1961
1962,10.7 million,ABS/UN midyear estimate
1963,10.9 million,ABS/UN midyear estimate
1964,11.1 million,ABS/UN midyear estimate
1965,11.4 million,ABS/UN midyear estimate
1966,11.6 million,ABS Census 1966
1967,11.8 million,ABS/UN midyear estimate
1968,12.0 million,ABS/UN midyear estimate
1969,12.3 million,ABS/UN midyear estimate
1970,12.7 million,ABS/UN midyear estimate
1971,13.1 million,ABS ERP 1971
1972,13.3 million,ABS ERP
1973,13.5 million,ABS ERP
1974,13.7 million,ABS ERP
1975,13.9 million,ABS ERP
1976,14.0 million,ABS Census 1976
1977,14.2 million,ABS ERP
1978,14.4 million,ABS ERP
1979,14.5 million,ABS ERP
1980,14.7 million,ABS ERP
1981,14.9 million,ABS Census 1981
1982,15.2 million,ABS ERP
1983,15.4 million,ABS ERP
1984,15.6 million,ABS ERP
1985,15.8 million,ABS ERP
1986,16.0 million,ABS Census 1986
1987,16.3 million,ABS ERP
1988,16.5 million,ABS ERP
1989,16.8 million,ABS ERP
1990,17.1 million,ABS ERP
1991,17.3 million,ABS Census 1991
1992,17.5 million,ABS ERP
1993,17.7 million,ABS ERP
1994,17.9 million,ABS ERP
1995,18.1 million,ABS ERP
1996,18.3 million,ABS Census 1996
1997,18.5 million,ABS ERP
1998,18.7 million,ABS ERP
1999,19.0 million,ABS ERP
2000,19.2 million,ABS ERP
2001,19.4 million,ABS Census 2001
2002,19.7 million,ABS ERP
2003,19.9 million,ABS ERP
2004,20.1 million,ABS ERP
2005,20.4 million,ABS ERP
2006,20.7 million,ABS Census 2006
2007,21.0 million,ABS ERP
2008,21.4 million,ABS ERP
2009,21.8 million,ABS ERP
2010,22.0 million,ABS ERP
2011,22.3 million,ABS Census 2011
2012,22.7 million,ABS ERP
2013,23.1 million,ABS ERP
2014,23.5 million,ABS ERP
2015,23.8 million,ABS ERP
2016,24.2 million,ABS Census 2016
2017,24.6 million,ABS ERP
2018,25.0 million,ABS ERP
2019,25.3 million,ABS ERP
2020,25.6 million,ABS ERP
2021,25.7 million,ABS Census 2021
2022,26.0 million,ABS ERP
2023,26.7 million,ABS ERP
2024,27.1 million,ABS ERP
2025,27.6 million,ABS ERP Jun 2025
2026,27.8 million,ABS ERP Dec 2025 (most recent)
