year,mens_winner,womens_winner,notes
1930,Edgar Moon,Daphne Akhurst,
1931,Jack Crawford,Coral Buttsworth,
1932,Jack Crawford,Coral Buttsworth,
1933,Jack Crawford,Joan Hartigan,
1934,Fred Perry,Joan Hartigan,
1935,Jack Crawford,Dorothy Round,
1936,Adrian Quist,Joan Hartigan,
1937,Vivian McGrath,Nancye Wynne,
1938,Don Budge,Dorothy Bundy,
1939,John Bromwich,Emily Westacott,
1940,Adrian Quist,Nancye Wynne Bolton,
1941,Not held,Not held,Tournament suspended due to World War II
1942,Not held,Not held,Tournament suspended due to World War II
1943,Not held,Not held,Tournament suspended due to World War II
1944,Not held,Not held,Tournament suspended due to World War II
1945,Not held,Not held,Tournament suspended due to World War II
1946,John Bromwich,Nancye Wynne Bolton,
1947,Dinny Pails,Nancye Wynne Bolton,
1948,Adrian Quist,Nancye Wynne Bolton,
1949,Frank Sedgman,Doris Hart,
1950,Frank Sedgman,Louise Brough,
1951,Richard Savitt,Nancye Wynne Bolton,
1952,Ken McGregor,Thelma Coyne Long,
1953,Ken Rosewall,Maureen Connolly,
1954,Mervyn Rose,Thelma Coyne Long,
1955,Ken Rosewall,Beryl Penrose,
1956,Lew Hoad,Mary Carter Reitano,
1957,Ashley Cooper,Shirley Fry,
1958,Ashley Cooper,Angela Mortimer,
1959,Alex Olmedo,Mary Carter Reitano,
1960,Rod Laver,Margaret Smith Court,
1961,Roy Emerson,Margaret Smith Court,
1962,Rod Laver,Margaret Smith Court,
1963,Roy Emerson,Margaret Smith Court,
1964,Roy Emerson,Margaret Smith Court,
1965,Roy Emerson,Margaret Smith Court,
1966,Roy Emerson,Margaret Smith Court,
1967,Roy Emerson,Nancy Richey,
1968,Bill Bowrey,Billie Jean King,
1969,Rod Laver,Margaret Court,
1970,Arthur Ashe,Margaret Court,
1971,Ken Rosewall,Margaret Court,
1972,Ken Rosewall,Virginia Wade,
1973,John Newcombe,Margaret Court,
1974,Jimmy Connors,Evonne Goolagong,
1975,John Newcombe,Evonne Goolagong,
1976,Mark Edmondson,Evonne Goolagong,
1977,Roscoe Tanner,Kerry Melville Reid,Two editions held this year as tournament shifted from January to December scheduling - January winners shown; December event won by Vitas Gerulaitis (men) and Evonne Goolagong (women)
1978,Guillermo Vilas,Chris O'Neil,
1979,Guillermo Vilas,Barbara Jordan,
1980,Brian Teacher,Hana Mandlikova,
1981,Johan Kriek,Martina Navratilova,
1982,Johan Kriek,Chris Evert,
1983,Mats Wilander,Martina Navratilova,
1984,Mats Wilander,Chris Evert,
1985,Stefan Edberg,Martina Navratilova,
1986,Not held,Not held,"Tournament not held this year - moved from December scheduling to January, creating a 13-month gap before the January 1987 event"
1987,Stefan Edberg,Hana Mandlikova,
1988,Mats Wilander,Steffi Graf,
1989,Ivan Lendl,Steffi Graf,
1990,Ivan Lendl,Steffi Graf,
1991,Boris Becker,Monica Seles,
1992,Jim Courier,Monica Seles,
1993,Jim Courier,Monica Seles,
1994,Pete Sampras,Steffi Graf,
1995,Andre Agassi,Mary Pierce,
1996,Boris Becker,Monica Seles,
1997,Pete Sampras,Martina Hingis,
1998,Petr Korda,Martina Hingis,
1999,Yevgeny Kafelnikov,Martina Hingis,
2000,Andre Agassi,Lindsay Davenport,
2001,Andre Agassi,Jennifer Capriati,
2002,Thomas Johansson,Jennifer Capriati,
2003,Andre Agassi,Serena Williams,
2004,Roger Federer,Justine Henin,
2005,Marat Safin,Serena Williams,
2006,Roger Federer,Amelie Mauresmo,
2007,Roger Federer,Serena Williams,
2008,Novak Djokovic,Maria Sharapova,
2009,Rafael Nadal,Serena Williams,
2010,Roger Federer,Serena Williams,
2011,Novak Djokovic,Kim Clijsters,
2012,Novak Djokovic,Victoria Azarenka,
2013,Novak Djokovic,Victoria Azarenka,
2014,Stan Wawrinka,Li Na,
2015,Novak Djokovic,Serena Williams,
2016,Novak Djokovic,Angelique Kerber,
2017,Roger Federer,Serena Williams,
2018,Roger Federer,Caroline Wozniacki,
2019,Novak Djokovic,Naomi Osaka,
2020,Novak Djokovic,Sofia Kenin,
2021,Novak Djokovic,Naomi Osaka,
2022,Rafael Nadal,Ashleigh Barty,
2023,Novak Djokovic,Aryna Sabalenka,
2024,Jannik Sinner,Aryna Sabalenka,
2025,Jannik Sinner,Madison Keys,
2026,Carlos Alcaraz,Elena Rybakina,
