year,boy1,boy2,boy3,boy4,boy5,boy6,boy7,boy8,boy9,boy10,girl1,girl2,girl3,girl4,girl5,girl6,girl7,girl8,girl9,girl10
1952,John,Peter,Robert,Stephen,David,Michael,Paul,Gary,Gregory,Ian,Christine,Susan,Margaret,Judith,Jennifer,Lynette,Robyn,Patricia,Helen,Elizabeth
1953,John,Peter,Robert,Stephen,David,Michael,Paul,Gregory,Gary,Ian,Christine,Susan,Jennifer,Margaret,Judith,Robyn,Julie,Lynette,Helen,Patricia
1954,Peter,John,Robert,Stephen,David,Michael,Gregory,Paul,Ian,Mark,Susan,Christine,Margaret,Jennifer,Julie,Robyn,Lynette,Judith,Helen,Patricia
1955,Peter,John,Stephen,Robert,Michael,David,Gregory,Paul,Mark,Ian,Susan,Jennifer,Christine,Margaret,Julie,Lynette,Karen,Robyn,Judith,Helen
1956,Peter,John,David,Stephen,Michael,Robert,Mark,Gregory,Paul,Ian,Jennifer,Susan,Julie,Christine,Margaret,Karen,Deborah,Robyn,Helen,Lynette
1957,Peter,John,David,Stephen,Michael,Mark,Robert,Gregory,Paul,Anthony,Jennifer,Susan,Deborah,Julie,Karen,Margaret,Christine,Kim,Debra,Robyn
1958,Peter,John,David,Michael,Stephen,Mark,Gregory,Robert,Paul,Wayne,Jennifer,Susan,Deborah,Julie,Karen,Debra,Kim,Christine,Margaret,Wendy
1959,Peter,David,Mark,Michael,John,Stephen,Gregory,Robert,Paul,Anthony,Jennifer,Susan,Julie,Deborah,Karen,Kim,Debra,Christine,Sharon,Catherine
1960,Peter,Mark,David,Michael,John,Stephen,Robert,Gregory,Paul,Anthony,Jennifer,Susan,Julie,Karen,Deborah,Kim,Debra,Sharon,Christine,Robyn
1961,David,Peter,Mark,Michael,John,Stephen,Robert,Gregory,Paul,Anthony,Jennifer,Karen,Susan,Julie,Deborah,Donna,Sharon,Kim,Michelle,Catherine
1962,David,Peter,Mark,Michael,John,Stephen,Paul,Robert,Gregory,Anthony,Jennifer,Karen,Susan,Sharon,Julie,Deborah,Donna,Michelle,Catherine,Joanne
1963,David,Peter,Michael,Mark,John,Paul,Stephen,Robert,Gregory,Anthony,Karen,Susan,Jennifer,Sharon,Julie,Donna,Leanne,Catherine,Michelle,Deborah
