month,day,celebrity1,celebrity2,celebrity3
1,1,J.D. Salinger - American novelist,Paul Revere - American patriot,Verne Troyer - American actor
1,2,Isaac Asimov - American author,Cuba Gooding Jr. - American actor,Christy Turlington - American model
1,3,J.R.R. Tolkien - English author,Mel Gibson - American actor,Michael Schumacher - German racing driver
1,4,Isaac Newton - English physicist,Louis Braille - French educator,Michael Stipe - American singer
1,5,Diane Keaton - American actress,Bradley Cooper - American actor,Robert Duvall - American actor
1,6,Rowan Atkinson - British comedian,Eddie Redmayne - English actor,Kate McKinnon - American comedian
1,7,Nicolas Cage - American actor,Lewis Hamilton - British racing driver,Jeremy Renner - American actor
1,8,Elvis Presley - American singer,David Bowie - English musician,Stephen Hawking - English physicist
1,9,Catherine Middleton - Princess of Wales,Jimmy Page - English guitarist,Joan Baez - American singer
1,10,Rod Stewart - British singer,George Foreman - American boxer,Pat Benatar - American singer
1,11,Alexander Hamilton - American statesman,Mary J. Blige - American singer,Amanda Peet - American actress
1,12,Jeff Bezos - American entrepreneur,Zayn Malik - English singer,Haruki Murakami - Japanese novelist
1,13,Orlando Bloom - English actor,Liam Hemsworth - Australian actor,Julia Louis-Dreyfus - American actress
1,14,Dave Grohl - American musician,Faye Dunaway - American actress,LL Cool J - American rapper
1,15,Martin Luther King Jr. - American activist,Pitbull - American rapper,Regina King - American actress
1,16,Kate Moss - English model,Lin-Manuel Miranda - American composer,Sade Adu - British singer
1,17,Muhammad Ali - American boxer,Michelle Obama - American lawyer,Jim Carrey - Canadian actor
1,18,Kevin Costner - American actor,A.A. Milne - English author,Cary Grant - English actor
1,19,Edgar Allan Poe - American writer,Dolly Parton - American singer,Janis Joplin - American singer
1,20,Buzz Aldrin - American astronaut,David Lynch - American filmmaker,Federico Fellini - Italian director
1,21,Christian Dior - French designer,Geena Davis - American actress,Hakeem Olajuwon - American basketball player
1,22,Lord Byron - English poet,Diane Lane - American actress,Steve Perry - American singer
1,23,John Hancock - American statesman,Django Reinhardt - Belgian guitarist,Mariska Hargitay - American actress
1,24,Neil Diamond - American singer,John Belushi - American comedian,Mary Lou Retton - American gymnast
1,25,Robert Burns - Scottish poet,Virginia Woolf - English writer,Alicia Keys - American singer
1,26,Wayne Gretzky - Canadian hockey player,Ellen DeGeneres - American comedian,Paul Newman - American actor
1,27,Wolfgang Amadeus Mozart - Austrian composer,Lewis Carroll - English author,Mikhail Baryshnikov - Russian dancer
1,28,Jackson Pollock - American painter,Elijah Wood - American actor,Alan Alda - American actor
1,29,Oprah Winfrey - American host,Tom Selleck - American actor,Anton Chekhov - Russian writer
1,30,Franklin D. Roosevelt - American president,Gene Hackman - American actor,Christian Bale - British actor
1,31,Justin Timberlake - American singer,Jackie Robinson - American baseball player,Franz Schubert - Austrian composer
2,1,Clark Gable - Film actor,Harry Styles - Pop singer,Ronda Rousey - Mixed martial artist
2,2,Shakira - Singer songwriter,Christie Brinkley - Fashion model,Farrah Fawcett - Film actress
2,3,Norman Rockwell - American illustrator,Isla Fisher - Film actress,Nathan Lane - Stage actor
2,4,Rosa Parks - Civil rights activist,Alice Cooper - Rock musician,Charles Lindbergh - Aviation pioneer
2,5,Cristiano Ronaldo - Football player,Hank Aaron - Baseball player,Neymar - Football player
2,6,Bob Marley - Reggae musician,Babe Ruth - Baseball player,Axl Rose - Rock singer
2,7,Charles Dickens - English novelist,Chris Rock - Comedian actor,Garth Brooks - Country singer
2,8,James Dean - Film actor,John Williams - Film composer,John Grisham - Novelist author
2,9,Carole King - Singer songwriter,Michael B. Jordan - Film actor,Joe Pesci - Film actor
2,10,Roberta Flack - Soul singer,Elizabeth Banks - Film actress,Mark Spitz - Olympic swimmer
2,11,Thomas Edison - American inventor,Jennifer Aniston - Film actress,Burt Reynolds - Film actor
2,12,Abraham Lincoln - US president,Charles Darwin - English naturalist,Josh Brolin - Film actor
2,13,Peter Gabriel - Rock musician,Kim Novak - Film actress,Robbie Williams - Pop singer
2,14,Frederick Douglass - Social reformer,Simon Pegg - Comedic actor,Gregory Hines - Tap dancer
2,15,Galileo Galilei - Italian astronomer,Susan B. Anthony - Suffrage activist,Chris Farley - Comedic actor
2,16,The Weeknd - Pop singer,Mahershala Ali - Film actor,John McEnroe - Tennis player
2,17,Michael Jordan - Basketball player,Ed Sheeran - Singer songwriter,Paris Hilton - Media personality
2,18,John Travolta - Film actor,Dr. Dre - Rap producer,Molly Ringwald - Film actress
2,19,Nicolaus Copernicus - Renaissance astronomer,Smokey Robinson - Soul singer,Millie Bobby Brown - Film actress
2,20,Rihanna - Pop singer,Kurt Cobain - Rock musician,Cindy Crawford - Fashion model
2,21,Nina Simone - Jazz singer,Jordan Peele - Comedian director,Kelsey Grammer - Television actor
2,22,George Washington - US president,Drew Barrymore - Film actress,Steve Irwin - Wildlife conservationist
2,23,George Frideric Handel - Baroque composer,Emily Blunt - Film actress,Dakota Fanning - Film actress
2,24,Steve Jobs - Tech entrepreneur,Floyd Mayweather Jr. - Professional boxer,Wilhelm Grimm - German author
2,25,George Harrison - Beatles guitarist,Pierre-Auguste Renoir - French painter,Enrico Caruso - Operatic tenor
2,26,Victor Hugo - French novelist,Johnny Cash - Country singer,Erykah Badu - Soul singer
2,27,Elizabeth Taylor - Film actress,John Steinbeck - American novelist,Josh Groban - Singer songwriter
2,28,Linus Pauling - Nobel chemist,Mario Andretti - Racing driver,Bernadette Peters - Broadway actress
2,29,Gioachino Rossini - Opera composer,Tony Robbins - Motivational speaker,Ja Rule - Rap artist
3,1,Justin Bieber - Pop singer,Ron Howard - Film director,Lupita Nyong'o - Film actress
3,2,Jon Bon Jovi - Rock singer,Daniel Craig - Film actor,Dr. Seuss - Children's author
3,3,Alexander Graham Bell - Telephone inventor,Jessica Biel - Film actress,Camila Cabello - Pop singer
3,4,Antonio Vivaldi - Baroque composer,Patricia Heaton - Television actress,Draymond Green - Basketball player
3,5,Eva Mendes - Film actress,Penn Jillette - Magician entertainer,John Frusciante - Rock guitarist
