year,cinema_price,source
1976,$3.30,Screen Australia - average cinema ticket price
1977,$3.50,Screen Australia - average cinema ticket price
1978,$3.50,Screen Australia - average cinema ticket price
1979,$3.70,Screen Australia - average cinema ticket price
1980,$4.00,Screen Australia - average cinema ticket price
1981,$4.50,Screen Australia - average cinema ticket price
1982,$5.00,Screen Australia - average cinema ticket price
1983,$5.60,Screen Australia - average cinema ticket price
1984,$5.40,Screen Australia - average cinema ticket price
1985,$5.40,Screen Australia - average cinema ticket price
1986,$5.31,Screen Australia - average cinema ticket price
1987,$6.16,Screen Australia - average cinema ticket price
1988,$6.10,Screen Australia - average cinema ticket price
1989,$6.60,Screen Australia - average cinema ticket price
1990,$6.61,Screen Australia - average cinema ticket price
1991,$6.95,Screen Australia - average cinema ticket price
1992,$7.09,Screen Australia - average cinema ticket price
1993,$7.00,Screen Australia - average cinema ticket price
1994,$7.00,Screen Australia - average cinema ticket price
1995,$7.17,Screen Australia - average cinema ticket price
1996,$7.26,Screen Australia - average cinema ticket price
1997,$7.47,Screen Australia - average cinema ticket price
1998,$7.87,Screen Australia - average cinema ticket price
1999,$7.93,Screen Australia - average cinema ticket price
2000,$8.39,Screen Australia - average cinema ticket price
2001,$8.78,Screen Australia - average cinema ticket price
2002,$9.13,Screen Australia - average cinema ticket price
2003,$9.64,Screen Australia - average cinema ticket price
2004,$9.92,Screen Australia - average cinema ticket price
2005,$9.94,Screen Australia - average cinema ticket price
2006,$10.37,Screen Australia - average cinema ticket price
2007,$10.57,Screen Australia - average cinema ticket price
2008,$11.17,Screen Australia - average cinema ticket price
2009,$11.99,Screen Australia - average cinema ticket price
2010,$12.26,Screen Australia - average cinema ticket price
2011,$12.87,Screen Australia - average cinema ticket price
2012,$13.10,Screen Australia - average cinema ticket price
2013,$13.41,Screen Australia - average cinema ticket price
2014,$13.68,Screen Australia - average cinema ticket price
2015,$13.60,Screen Australia - average cinema ticket price
2016,$13.80,Screen Australia - average cinema ticket price
2017,$14.13,Screen Australia - average cinema ticket price
2018,$13.86,Screen Australia - average cinema ticket price
2019,$14.50,Screen Australia - average cinema ticket price
2020,$14.23,Screen Australia - average cinema ticket price
2021,$15.24,Screen Australia - average cinema ticket price
2022,$16.26,Screen Australia - average cinema ticket price
2023,$16.96,Screen Australia - average cinema ticket price
2024,$17.26,Screen Australia - average cinema ticket price
2025,$17.90,Screen Australia - average cinema ticket price
2026,$17.90,Latest available (2025 Screen Australia); 2026 not yet published
