year,inflation_rate,source
1920,8.9%,RBA pre-CPI retail price index (approx)
1921,-12.6%,RBA pre-CPI series - post-WWI deflation
1922,-5.0%,RBA pre-CPI series (approx)
1923,2.9%,RBA pre-CPI series (approx)
1924,0.0%,RBA pre-CPI series (approx)
1925,0.8%,RBA pre-CPI series (approx)
1926,1.6%,RBA pre-CPI series (approx)
1927,-0.8%,RBA pre-CPI series (approx)
1928,0.0%,RBA pre-CPI series (approx)
1929,1.6%,RBA pre-CPI series (approx)
1930,-5.4%,RBA pre-CPI series - Great Depression deflation
1931,-9.8%,RBA pre-CPI series - Great Depression deflation
1932,-6.3%,RBA pre-CPI series - Great Depression deflation
1933,-3.4%,RBA pre-CPI series - Great Depression deflation
1934,2.6%,RBA pre-CPI series (approx)
1935,0.9%,RBA pre-CPI series (approx)
1936,1.7%,RBA pre-CPI series (approx)
1937,2.5%,RBA pre-CPI series (approx)
1938,2.5%,RBA pre-CPI series (approx)
1939,1.6%,RBA pre-CPI series (approx)
1940,4.0%,RBA pre-CPI series - wartime
1941,4.6%,RBA pre-CPI series - wartime
1942,8.8%,RBA pre-CPI series - wartime
1943,4.0%,RBA pre-CPI series - wartime price controls
1944,0.0%,RBA pre-CPI series - wartime price controls
1945,0.4%,RBA pre-CPI series (approx)
1946,1.9%,RBA pre-CPI series (approx)
1947,3.7%,RBA pre-CPI series (approx)
1948,8.8%,RBA pre-CPI series (approx)
1949,8.8%,ABS CPI
1950,9.1%,ABS CPI
1951,19.7%,ABS CPI - Korean War wool boom peak
1952,17.3%,ABS CPI
1953,4.3%,ABS CPI
1954,0.7%,ABS CPI
1955,2.2%,ABS CPI
1956,6.0%,ABS CPI
1957,2.6%,ABS CPI
1958,1.2%,ABS CPI
1959,1.8%,ABS CPI
1960,3.8%,ABS CPI
1961,2.5%,ABS CPI
1962,-0.2%,ABS CPI
1963,0.4%,ABS CPI
1964,2.5%,ABS CPI
1965,3.8%,ABS CPI
1966,3.1%,ABS CPI
1967,3.3%,ABS CPI
1968,2.7%,ABS CPI
1969,3.0%,ABS CPI
1970,3.7%,ABS CPI
1971,6.0%,ABS CPI
1972,6.0%,ABS CPI
1973,9.3%,ABS CPI
1974,15.3%,ABS CPI - oil crisis peak
1975,15.2%,ABS CPI
1976,13.3%,ABS CPI
1977,12.4%,ABS CPI
1978,8.0%,ABS CPI
1979,9.1%,ABS CPI
1980,10.2%,ABS CPI
1981,9.6%,ABS CPI
1982,11.2%,ABS CPI
1983,10.1%,ABS CPI
1984,3.9%,ABS CPI
1985,6.8%,ABS CPI
1986,9.1%,ABS CPI
1987,8.5%,ABS CPI
1988,7.3%,ABS CPI
1989,7.5%,ABS CPI
1990,7.3%,ABS CPI
1991,3.2%,ABS CPI
1992,1.0%,ABS CPI
1993,1.8%,ABS CPI
1994,1.9%,ABS CPI
1995,4.6%,ABS CPI
1996,2.6%,ABS CPI
1997,0.3%,ABS CPI
1998,0.9%,ABS CPI
1999,1.5%,ABS CPI
2000,4.5%,ABS CPI - GST introduction
2001,4.4%,ABS CPI
2002,3.0%,ABS CPI
2003,2.8%,ABS CPI
2004,2.3%,ABS CPI
2005,2.7%,ABS CPI
2006,3.5%,ABS CPI
2007,2.4%,ABS CPI
2008,4.3%,ABS CPI - GFC year
2009,1.8%,ABS CPI
2010,2.9%,ABS CPI
2011,3.4%,ABS CPI
2012,1.7%,ABS CPI
2013,2.4%,ABS CPI
2014,2.5%,ABS CPI
2015,1.5%,ABS CPI
2016,1.3%,ABS CPI
2017,2.0%,ABS CPI
2018,1.9%,ABS CPI
2019,1.6%,ABS CPI
2020,0.9%,ABS CPI - COVID
2021,2.9%,ABS CPI
2022,6.6%,ABS CPI - post-COVID inflation peak
2023,5.6%,ABS CPI
2024,3.2%,ABS CPI
2025,2.8%,ABS CPI
2026,3.9%,ABS CPI YTD (Mar-Jun quarters) - year in progress
