year,petrol_price,source
1920,5.5c,Estimated - pre-BITRE series era
1921,5.4c,Estimated - pre-BITRE series era
1922,5.3c,Estimated - pre-BITRE series era
1923,5.2c,Estimated - pre-BITRE series era
1924,5.1c,Estimated - pre-BITRE series era
1925,5.0c,Estimated - pre-BITRE series era
1926,5.0c,BITRE IS82 official series
1927,4.7c,BITRE IS82 official series
1928,4.3c,BITRE IS82 official series
1929,4.2c,BITRE IS82 official series
1930,4.1c,BITRE IS82 official series
1931,4.0c,BITRE IS82 official series
1932,4.0c,BITRE IS82 official series
1933,4.0c,BITRE IS82 official series
1934,4.0c,BITRE IS82 official series
1935,3.9c,BITRE IS82 official series
1936,3.8c,BITRE IS82 official series
1937,3.9c,BITRE IS82 official series
1938,3.9c,BITRE IS82 official series
1939,4.0c,BITRE IS82 official series
1940,4.8c,BITRE IS82 official series
1941,5.5c,BITRE IS82 official series
1942,5.9c,BITRE IS82 official series
1943,6.2c,BITRE IS82 official series
1944,6.2c,BITRE IS82 official series
1945,6.1c,BITRE IS82 official series
1946,5.8c,BITRE IS82 official series
1947,5.3c,BITRE IS82 official series
1948,5.6c,BITRE IS82 official series
1949,6.0c,BITRE IS82 official series
1950,6.4c,BITRE IS82 official series
1951,6.8c,BITRE IS82 official series
1952,7.4c,BITRE IS82 official series
1953,7.8c,BITRE IS82 official series
1954,7.3c,BITRE IS82 official series
1955,7.2c,BITRE IS82 official series
1956,7.7c,BITRE IS82 official series
1957,8.3c,BITRE IS82 official series
1958,8.1c,BITRE IS82 official series
1959,7.9c,BITRE IS82 official series
1960,7.8c,BITRE IS82 official series
1961,7.7c,BITRE IS82 official series
1962,7.5c,BITRE IS82 official series
1963,7.5c,BITRE IS82 official series
1964,7.4c,BITRE IS82 official series
1965,7.4c,BITRE IS82 official series
1966,8.0c,BITRE IS82 official series
1967,8.2c,BITRE IS82 official series
1968,8.5c,BITRE IS82 official series
1969,8.6c,BITRE IS82 official series
1970,8.7c,BITRE IS82 official series
1971,9.5c,BITRE IS82 official series
1972,10.1c,BITRE IS82 official series
1973,10.1c,BITRE IS82 official series
1974,12.2c,BITRE IS82 official series
1975,14.1c,BITRE IS82 official series
1976,16.2c,BITRE IS82 official series
1977,16.9c,BITRE IS82 official series
1978,18.4c,BITRE IS82 official series
1979,22.6c,BITRE IS82 official series
1980,30.6c,BITRE IS82 official series
1981,33.8c,BITRE IS82 official series
1982,36.0c,BITRE IS82 official series
1983,41.9c,BITRE IS82 official series
1984,46.1c,BITRE IS82 official series
1985,49.7c,BITRE IS82 official series
1986,52.6c,BITRE IS82 official series
1987,53.9c,BITRE IS82 official series
1988,54.7c,BITRE IS82 official series
1989,52.6c,BITRE IS82 official series
1990,60.4c,BITRE IS82 official series
1991,69.4c,BITRE IS82 official series
1992,66.8c,BITRE IS82 official series
1993,68.1c,BITRE IS82 official series
1994,67.0c,BITRE IS82 official series
1995,67.7c,BITRE IS82 official series
1996,70.7c,BITRE IS82 official series
1997,72.0c,BITRE IS82 official series
1998,70.6c,BITRE IS82 official series
1999,67.1c,BITRE IS82 official series
2000,78.3c,BITRE IS82 official series
2001,91.8c,BITRE IS82 official series
2002,83.8c,BITRE IS82 official series
2003,89.0c,BITRE IS82 official series
2004,91.2c,BITRE IS82 official series
2005,$1.02,BITRE IS82 official series
2006,$1.22,BITRE IS82 official series
2007,$1.22,BITRE IS82 official series
2008,$1.35,BITRE IS82 official series
2009,$1.28,BITRE IS82 official series
2010,$1.25,BITRE IS82 official series
2011,$1.33,BITRE IS82 official series
2012,$1.43,BITRE IS82 official series
2013,$1.43,BITRE IS82 official series
2014,$1.51,BITRE IS82 official series
2015,$1.34,BITRE IS82 official series
2016,$1.23,BITRE IS82 official series
2017,$1.27,AIP/ACCC annual average
2018,$1.41,AIP/ACCC annual average
2019,$1.42,AIP annual average
2020,$1.23,AIP annual average - COVID demand collapse
2021,$1.48,AIP annual average
2022,$1.84,AIP annual average - Ukraine war supply shock
2023,$1.90,AIP annual average
2024,$1.89,AIP annual average
2025,$1.82,AIP annual average
2026,$1.80,Current level (AIP mid-2026) - year in progress
