year,stamp_price,source
1920,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1921,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1922,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1923,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1924,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1925,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1926,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1927,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1928,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1929,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1930,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1931,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1932,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1933,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1934,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1935,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1936,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1937,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1938,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1939,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1940,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1941,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1942,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1943,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1944,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1945,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1946,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1947,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1948,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1949,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1950,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1951,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1952,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1953,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1954,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1955,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1956,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1957,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1958,2c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1959,4c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1960,4c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1961,4c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1962,4c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1963,4c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1964,4c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1965,4c,"Pre-decimal rate, decimal equivalent (Wikipedia)"
1966,4c,Australia Post basic letter rate (Wikipedia)
