year,world_population,source
1920,1.9 billion,US Census Bureau / Biraben historical
1921,1.9 billion,historical estimate
1922,1.9 billion,historical estimate
1923,1.9 billion,historical estimate
1924,1.9 billion,historical estimate
1925,2.0 billion,historical estimate
1926,2.0 billion,historical estimate
1927,2.0 billion,historical estimate
1928,2.0 billion,historical estimate
1929,2.0 billion,historical estimate
1930,2.1 billion,US Census Bureau / Biraben historical
1931,2.1 billion,historical estimate
1932,2.1 billion,historical estimate
1933,2.1 billion,historical estimate
1934,2.2 billion,historical estimate
1935,2.2 billion,historical estimate
1936,2.2 billion,historical estimate
1937,2.2 billion,historical estimate
1938,2.3 billion,historical estimate
1939,2.3 billion,historical estimate
1940,2.3 billion,US Census Bureau / Biraben historical
1941,2.3 billion,historical estimate
1942,2.4 billion,historical estimate
1943,2.4 billion,historical estimate
1944,2.4 billion,historical estimate
1945,2.4 billion,historical estimate
1946,2.4 billion,historical estimate
1947,2.4 billion,historical estimate
1948,2.5 billion,historical estimate
1949,2.5 billion,historical estimate
1950,2.5 billion,UN World Population Prospects
1951,2.6 billion,UN WPP
1952,2.6 billion,UN WPP
1953,2.7 billion,UN WPP
1954,2.7 billion,UN WPP
1955,2.8 billion,UN WPP
1956,2.8 billion,UN WPP
1957,2.9 billion,UN WPP
1958,2.9 billion,UN WPP
1959,3.0 billion,UN WPP
1960,3.0 billion,UN WPP
1961,3.1 billion,UN WPP
1962,3.1 billion,UN WPP
1963,3.2 billion,UN WPP
1964,3.3 billion,UN WPP
1965,3.3 billion,UN WPP
1966,3.4 billion,UN WPP
1967,3.5 billion,UN WPP
1968,3.6 billion,UN WPP
1969,3.6 billion,UN WPP
1970,3.7 billion,UN WPP
1971,3.8 billion,UN WPP
1972,3.9 billion,UN WPP
1973,3.9 billion,UN WPP
1974,4.0 billion,UN WPP
1975,4.1 billion,UN WPP
1976,4.1 billion,UN WPP
1977,4.2 billion,UN WPP
1978,4.3 billion,UN WPP
1979,4.4 billion,UN WPP
1980,4.4 billion,UN WPP
1981,4.5 billion,UN WPP
1982,4.6 billion,UN WPP
1983,4.7 billion,UN WPP
1984,4.8 billion,UN WPP
1985,4.8 billion,UN WPP
1986,4.9 billion,UN WPP
1987,5.0 billion,UN WPP
1988,5.1 billion,UN WPP
1989,5.2 billion,UN WPP
1990,5.3 billion,UN WPP
1991,5.4 billion,UN WPP
1992,5.5 billion,UN WPP
1993,5.6 billion,UN WPP
1994,5.6 billion,UN WPP
1995,5.7 billion,UN WPP
1996,5.8 billion,UN WPP
1997,5.9 billion,UN WPP
1998,6.0 billion,UN WPP
1999,6.0 billion,UN WPP
2000,6.1 billion,UN WPP
2001,6.2 billion,UN WPP
2002,6.3 billion,UN WPP
2003,6.4 billion,UN WPP
2004,6.4 billion,UN WPP
2005,6.5 billion,UN WPP
2006,6.6 billion,UN WPP
2007,6.7 billion,UN WPP
2008,6.8 billion,UN WPP
2009,6.9 billion,UN WPP
2010,7.0 billion,UN WPP
2011,7.0 billion,UN WPP
2012,7.1 billion,UN WPP
2013,7.2 billion,UN WPP
2014,7.3 billion,UN WPP
2015,7.4 billion,UN WPP
2016,7.5 billion,UN WPP
2017,7.5 billion,UN WPP
2018,7.6 billion,UN WPP
2019,7.7 billion,UN WPP
2020,7.8 billion,UN WPP
2021,7.9 billion,UN WPP
2022,8.0 billion,UN WPP
2023,8.1 billion,UN WPP
2024,8.2 billion,UN WPP
2025,8.2 billion,UN WPP
2026,8.3 billion,UN WPP (current)
